<DATE>,<OPEN>,<HIGH>,<LOW>,<CLOSE>
2011-03-22,143.1,150,143,150
2011-03-23,154,154,145,145
2011-03-24,131,153,131,153
2011-03-25,153,153.1,153,153.1
2011-03-30,160,160,160,160
2011-04-05,174,174,174,174
2011-04-06,174,174,174,174
2011-04-19,173,174,165,174
2011-04-26,182,186,182,182
2011-04-27,184,186,184,186
2011-05-04,177,177,176,176
2011-05-06,174.1,174.1,174.1,174.1
2011-05-09,174.2,174.2,172.5,172.5
2011-05-10,178.1,178.1,178.1,178.1
2011-05-16,183,183,183,183
2011-05-17,185,185,185,185
2011-05-18,185,185,185,185
2011-05-27,175,175,175,175
2011-05-30,157,157,157,157
2011-05-31,152,152,152,152
2011-06-01,157,157,152,152
2011-06-03,145,145,145,145
2011-06-08,145,145,145,145
2011-08-25,145,145,145,145
2012-09-28,85.1,85.1,85.1,85.1
2014-12-29,1.69,1.69,1.69,1.69
2015-03-18,1.7,1.7,1.7,1.7
2015-03-19,1.7,1.7,1.7,1.7
2017-10-10,1.7,1.7,1.7,1.7
2018-02-27,1.53,1.53,1.53,1.53
2018-12-03,1.5,1.5,1.5,1.5
2019-12-09,1.5,1.5,1.5,1.5
2019-12-27,1.5,1.5,1.5,1.5
